2020,10,1,50
2020,10,2,0
2020,10,3,45
2020,10,4,23
2020,10,5,15
2020,10,6,10
2020,10,7,0
2020,10,8,0
2020,10,9,140
2020,10,10,123
2020,10,11,34
2020,10,12,90
2020,10,13,200
2020,10,14,35
2020,10,15,0
2020,10,16,13
2020,10,17,55
2020,10,18,150
2020,10,19,15
2020,10,20,0
2020,10,21,30
2020,10,22,15
2020,10,23,0
2020,10,24,16
2020,10,25,50
2020,10,26,0
2020,10,27,0
2020,10,28,150
2020,10,29,0
2020,10,30,0
2020,10,31,0
2020,10,32,20
2020,10,33,20
2020,10,34,0
2020,10,35,0
2020,10,36,30
2020,10,37,20
2020,10,38,0
2020,11,1,80
2020,11,2,0
2020,11,3,30
2020,11,4,15
2020,11,5,12
2020,11,6,10
2020,11,7,25
2020,11,8,4
2020,11,9,170
2020,11,10,60
2020,11,11,25
2020,11,12,85
2020,11,13,200
2020,11,14,26
2020,11,15,0
2020,11,16,25
2020,11,17,45
2020,11,18,150
2020,11,19,0
2020,11,20,0
2020,11,21,0
2020,11,22,0
2020,11,23,0
2020,11,24,12
2020,11,25,50
2020,11,26,0
2020,11,27,0
2020,11,28,0
2020,11,29,0
2020,11,30,0
2020,11,31,0
2020,11,32,20
2020,11,33,20
2020,11,34,0
2020,11,35,0
2020,11,36,30
2020,11,37,15
2020,11,38,0
